myScore,Num. people in role,Num. transfers to role,Num. transfers from role,Total years in role,Mean years in role,Mean % career in role,Role
4.0716335227272724,8,7,1,49.0,6.125,58.16619318181818,Legal Adviser Foreign and Commonwealth Office
3.704053884711779,8,6,1,31.0,3.875,61.734231411862986,High Commissioner to Guyana and Ambassador to Surinam
2.8446546207415775,8,8,1,37.0,4.625,35.558182759269719,Ambassador to the Holy See
2.7559005159005157,9,4,1,35.5,3.9444444444444446,68.897512897512897,Ambassador to Costa Rica
2.6452851281523184,14,12,2,56.0,4.0,44.088085469205311,High Commissioner to Botswana
2.6005291005291005,4,4,1,34.0,8.5,65.013227513227505,Senior Clerk Consular Department Foreign Office
2.3726503759398496,7,3,1,27.5,3.9285714285714284,79.088345864661662,High Commissioner to Tonga
2.3717619047619047,5,4,1,73.5,14.699999999999999,59.294047619047618,Legal Adviser Foreign Office
2.3467032967032968,7,4,1,30.5,4.3571428571428568,58.667582417582423,Consul-General Auckland
2.2973498964803314,10,8,2,37.0,3.7000000000000002,57.433747412008287,Ambassador to Honduras
2.2926136363636362,4,3,1,26.0,6.5,76.420454545454547,Governor-General of India
2.2870445838945814,27,21,4,122.5,4.5370370370370372,43.562753978944407,Ambassador to the U.S.A.
2.2824413519556708,6,7,1,22.0,3.6666666666666665,32.606305027938156,Governor of Montserrat
2.25,1,3,1,4.5,4.5,75.0,Deputy High Commissioner Chennai India
2.2151713064371545,21,22,2,88.5,4.2142857142857144,20.137920967610494,Ambassador to Japan
2.2116458973795932,8,7,2,113.0,14.125,63.18988278227409,Chief Clerk Foreign Office
2.1711956521739131,4,3,1,14.0,3.5,72.373188405797094,Ambassador to Tajikistan
2.143976344534777,29,30,3,141.5,4.8793103448275863,21.439763445347772,Ambassador to Italy
2.1287515318615458,13,13,2,58.5,4.5,32.750023567100705,Permanent Representative to the Council of Europe
2.0391410206078335,12,11,2,54.0,4.5,37.075291283778796,High Commissioner to South Africa
2.0281189398836457,5,6,1,14.5,2.8999999999999999,33.8019823313941,Ambassador to Uzbekistan
1.9332299593438376,10,8,2,37.0,3.7000000000000002,48.330748983595939,Consul-General Cape Town
1.9097222222222223,4,4,1,23.0,5.75,47.743055555555557,Head of Cultural Relations Department Foreign Office
1.8952644454799628,5,5,1,17.5,3.5,37.905288909599257,Minister to Iceland
1.7142857142857142,2,3,1,5.0,2.5,57.142857142857139,Director of Protocol Foreign and Commonwealth Office and Vice-Marshal of the Diplomatic Corps
1.6897977678523675,6,7,1,26.0,4.333333333333333,24.139968112176678,Governor of Bermuda
1.6333333333333335,3,2,1,12.5,4.166666666666667,81.666666666666671,High Commissioner to Cameroon
1.6091269841269842,12,8,3,44.0,3.6666666666666665,60.342261904761905,High Commissioner to Papua New Guinea
1.5793650793650793,6,2,1,16.0,2.6666666666666665,78.968253968253961,Ambassador to Eritrea
1.5723017130339785,6,6,1,25.0,4.166666666666667,26.205028550566308,Governor of the British Virgin Islands
1.4806547619047619,3,3,1,20.5,6.833333333333333,49.355158730158728,Assistant Under-Secretary Department of Trade and Industry
1.4796906806200743,14,12,4,55.0,3.9285714285714284,49.323022687335808,High Commissioner to Mauritius
1.4666666666666668,3,2,1,7.5,2.5,73.333333333333343,Ambassador to Mongolia
1.4520962833462834,11,7,3,61.5,5.5909090909090908,62.232697857697858,Consul-General Lyons
1.4444862340089104,14,14,3,59.0,4.2142857142857144,30.953276443048079,High Commissioner to Trinidad and Tobago
1.4300596291439331,16,14,5,95.0,5.9375,51.073558183711896,Consul-General Antwerp
1.4152828595553053,4,3,1,12.0,3.0,47.176095318510178,Consul-General St. Louis
1.3418114143920594,4,3,1,10.0,2.5,44.727047146401979,Head of Treaty and Nationality Department Foreign and Commonwealth Office
1.3333333333333333,3,2,1,8.5,2.8333333333333335,66.666666666666657,Minister to Costa Rica
1.3235294117647058,2,2,1,8.0,4.0,66.17647058823529,Ambassador to Kazakhstan
1.3043478260869565,3,3,1,11.5,3.8333333333333335,43.478260869565219,Counsellor and Deputy Head of Mission United Arab Emirates
1.3042194344882518,9,4,2,54.5,6.0555555555555554,65.210971724412587,Consul-General Buenos Aires
1.2683823529411766,3,3,1,10.5,3.5,42.279411764705884,Governor of Belize
1.2666666666666668,3,3,1,25.5,8.5,42.222222222222229,Minister Resident Peru
1.2655462184873949,2,3,1,10.0,5.0,42.184873949579831,Ambassador to the Czech Republic
1.2601351351351351,3,3,1,9.5,3.1666666666666665,42.004504504504503,Political Agent Kuwait
1.219736842105263,2,3,1,8.0,4.0,40.657894736842103,Director Estates and Security Foreign and Commonwealth Office
1.2157372200276324,5,4,2,70.5,14.1,60.786861001381624,Minister to Sardinia-Piedmont
1.1842105263157894,4,2,1,13.0,3.25,59.210526315789465,Counsellor and Deputy Head of Mission Denmark
1.1821520315357099,18,17,4,81.0,4.5,27.815341918487292,Ambassador to Austria
1.1799612160450814,12,10,4,54.0,4.5,47.198448641803253,Consul-General Atlanta
1.1654884493843303,6,6,2,32.0,5.333333333333333,38.849614979477678,Minister to Uruguay
