born,date_from,date_to,died,persname,rs,location
1941.0,1993,1997,,"ABBOTT, ANTHONY J.",Consul-General Perth Australia ,australia
1941.0,1997,2001,,"ABBOTT, ANTHONY J.",Governor of Montserrat ,Montserrat
1879.0,1928,1939,1955.0,"ABBOTT, ARTHUR",Consul-General Sao Paulo ,sao paulo
2014.0,2014,,,"ABBOTT, PETER",Counsellor and Deputy Head of Mission Embassy Portugal ,Portugal
,1889,1895,1917.0,"ABBOTT, WILLIAM G.",Consul-General Rio de Janeiro ,Rio de Janeiro
1955.0,2002,2006,,"ABBOTT-WATT, THORHILDA (THORDA) M.V.",Ambassador to Armenia ,Armenia
1955.0,2008,2009,,"ABBOTT-WATT, THORHILDA (THORDA) M.V.",Ambasador to Outer Mongolia  and 2011-2012,mongo
1955.0,2016,,,"ABBOTT-WATT, THORHILDA (THORDA) M.V.",Ambassador to Turkmenistan ,Turkmenistan
1803.0,1831,1836,1868.0,"ABERCROMBY, Hon. SIR RALPH",Secretary of Legation Prussia ,berlin
1803.0,1836,1839,1868.0,"ABERCROMBY, Hon. SIR RALPH",Minister Resident Tuscany ,tuscany
1803.0,1839,1840,1868.0,"ABERCROMBY, Hon. SIR RALPH",Minister to the German Confederation ,germany
1803.0,1840,1852,1868.0,"ABERCROMBY, Hon. SIR RALPH",Minister to Sardinia-Piedmont ,Turin
1803.0,1852,1858,1868.0,"ABERCROMBY, Hon. SIR RALPH",Minister to the Netherlands ,Netherlands
1784.0,1813,1814,1860.0,"ABERDEEN, Rt. Hon. GEORGE, 4th EARL OF",Ambassador to Austria ,Austria
1930.0,1970,1972,,"ACLAND, SIR ANTONY A.",Head of Arabian Department Foreign and Commonwealth Office ,ara
1930.0,1972,1975,,"ACLAND, SIR ANTONY A.",Principal Private Secretary to the Foreign Secretary ,"London, United Kingdom"
1930.0,1975,1977,,"ACLAND, SIR ANTONY A.",Ambassador to Luxemburg ,Luxembourg
1930.0,1977,1980,,"ACLAND, SIR ANTONY A.",Ambassador to Spain ,Spain
1930.0,1980,1982,,"ACLAND, SIR ANTONY A.",Deputy Under-Secretary for Foreign and Commonwealth Affairs (Defence and Intelligence) ,"London, United Kingdom"
1930.0,1982,1986,,"ACLAND, SIR ANTONY A.",Permanent Under-Secretary for Foreign and Commonwealth Affairs ,"London, United Kingdom"
1930.0,1986,1991,,"ACLAND, SIR ANTONY A.",Ambassador to the U.S.A. ,usa
1779.0,1801,1807,1860.0,"A’COURT, Rt. Hon. Sir WILLIAM, Bt.",Secretary of Legation The Two Sicilies ,Naples
1779.0,1814,1822,1860.0,"A’COURT, Rt. Hon. Sir WILLIAM, Bt.",Minister to the Two Sicilies ,Naples
